id,map_x,map_y
1,-13582402.379804526,4433859.524907722
2,-13581252.11167964,4433223.810913113
3,-13581050.85174474,4433579.757110351
4,-13581637.169989718,4433903.771665048
5,-13581683.589465555,4433900.929011757
6,-13581692.906214591,4433909.880708319
7,-13581702.690985804,4433913.7664656965
8,-13581715.120880244,4433917.212286145
9,-13581735.322294608,4433919.6280787615
10,-13581756.390011955,4433928.988137261
11,-13581766.151256073,4433928.6773043135
12,-13581786.727424145,4433938.906711672
13,-13581796.324818505,4433938.885661678
14,-13581825.936250372,4433937.373596929
15,-13581842.978305057,4433966.5680002365
16,-13581852.271526996,4433971.323106474
17,-13581852.903398931,4433965.967384336
18,-13581869.476591518,4433970.561811601
19,-13581858.31044095,4433956.4045468755
20,-13581876.849830635,4433957.5215787
21,-13581887.5941733,4433955.472048033
22,-13581895.693392739,4433953.862454294
23,-13581901.334865805,4433956.599604855
24,-13581910.183592664,4433970.617240602
25,-13581919.968363877,4433974.5029979795
26,-13581928.371755736,4433968.117248009
27,-13581945.740670018,4433967.066170183
28,-13581965.87234301,4433986.558107052
29,-13581989.608710682,4433999.674818947
30,-13581996.2097552,4433996.476681463
31,-13582015.75577053,4434000.051605893
32,-13582031.627652556,4434004.69966759
33,-13582038.64966506,4433988.042410271
34,-13582058.593961196,4434003.627539769
35,-13582066.88055749,4434005.924753401
36,-13582065.643601099,4434003.704693318
37,-13582077.371042313,4433999.91646493
38,-13582087.483513044,4434003.222656401
39,-13582090.43280869,4433998.006563242
40,-13582136.976020444,4434000.115676034
41,-13582160.665333923,4434004.8392072795
42,-13582163.802006423,4434003.529921492
43,-13582198.891061598,4434005.044790257
44,-13582208.207810635,4434013.996486818
45,-13582215.839007897,4434017.452832265
46,-13582224.64068056,4434023.077287362
47,-13582235.618614169,4434020.190810209
48,-13582238.404060245,4433998.735519282
49,-13582252.168279847,4434004.059666429
50,-13582258.769324366,4434000.861528945
51,-13582260.454036033,4433993.219945555
52,-13582274.966923136,4433984.505406961
53,-13582327.353471382,4433942.713511698
54,-13582352.376270102,4433919.649454416
55,-13582366.795048816,4433894.148554522
