#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2024 01 01 00 26 999 99.0 99.0  0.60  3.33  3.89 169 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 01 00 56 999 99.0 99.0  0.57 14.29  3.98  82 9999.0 999.0  11.2 999.0 99.0 99.00
2024 01 01 01 26 999 99.0 99.0  0.52 14.29  4.00  90 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 01 01 56 999 99.0 99.0  0.51 10.53  4.05  93 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 01 02 26 999 99.0 99.0  0.50 15.38  4.09  79 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 01 02 56 999 99.0 99.0  0.50 14.29  3.94  76 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 01 03 26 999 99.0 99.0  0.55 14.29  4.12  79 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 01 03 56 999 99.0 99.0  0.56  5.00  4.03  42 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 01 04 26 999 99.0 99.0  0.53 14.29  3.82  40 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 01 04 56 999 99.0 99.0  0.54  9.88  4.08  97 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 01 05 26 999 99.0 99.0  0.54 11.76  3.83  40 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 01 05 56 999 99.0 99.0  0.54 14.29  4.14  65 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 01 06 26 999 99.0 99.0  0.57 13.33  4.05 102 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 01 06 56 999 99.0 99.0  0.58  6.25  4.16 145 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 01 07 26 999 99.0 99.0  0.61  6.67  4.42 158 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 01 07 56 999 99.0 99.0  0.61 13.33  4.78  87 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 01 08 26 999 99.0 99.0  0.62  5.56  5.03 144 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 01 08 56 999 99.0 99.0  0.57  6.67  4.85 159 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 01 09 26 999 99.0 99.0  0.61 13.33  4.89  78 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 01 09 56 999 99.0 99.0  0.66 12.50  5.08  78 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 01 10 26 999 99.0 99.0  0.60  5.56  4.70 141 9999.0 999.0  11.1 999.0 99.0 99.00
2024 01 01 10 56 999 99.0 99.0  0.62  6.67  4.82 168 9999.0 999.0  11.1 999.0 99.0 99.00
