location,timestamp,direction_degrees,direction_group,final_plot_group,H,T,sea_state,sea_state_bin,bin_min,bin_max,bin_count,candidate_rank,selection_rule,strict_direction_match,distance_from_strict_se_range_degrees,requested_direction_start,requested_direction_end,matched_timestamp_utc,match_delta_minutes,webcoos_element_uuid,webcoos_size_bytes
seabright,2025-07-27 17:56:00,204,south_easterly_onshore,onshore,0.56,12.5,3.9200000000000004,1,1.319868,4.974348999999999,28,1,nearest_direction_fallback_within_20_deg,False,10.0,104.0,194.0,2025-07-27T17:57:37Z,1.62,12c51648-af6b-411b-88b0-2eb0f2af88fa,92834453
seabright,2025-07-27 18:56:00,204,south_easterly_onshore,onshore,0.59,13.33,4.640173,1,1.319868,4.974348999999999,28,2,nearest_direction_fallback_within_20_deg,False,10.0,104.0,194.0,2025-07-27T18:57:37Z,1.62,4389eb27-1052-4c27-ab99-77cd120bc3ec,97927714
seabright,2025-07-27 14:56:00,204,south_easterly_onshore,onshore,0.64,12.5,5.12,2,4.996962,5.940500000000001,27,1,nearest_direction_fallback_within_20_deg,False,10.0,104.0,194.0,2025-07-27T14:52:04Z,-3.93,fcad16d5-e217-4726-a0d8-a87e9cee09a4,93628332
seabright,2025-07-26 19:56:00,206,south_easterly_onshore,onshore,0.61,14.29,5.317309,2,4.996962,5.940500000000001,27,2,nearest_direction_fallback_within_20_deg,False,12.0,104.0,194.0,2025-07-26T19:52:18Z,-3.7,cb74f766-ffc4-43c3-845d-161c5ee740ac,100750680
seabright,2025-07-25 21:56:00,206,south_easterly_onshore,onshore,0.64,15.38,6.299648,3,5.951249999999999,7.002099999999999,27,1,nearest_direction_fallback_within_20_deg,False,12.0,104.0,194.0,2025-07-25T21:59:42Z,3.7,da3b1ac7-97c2-4785-8341-75c98a9e0f83,100480152
seabright,2025-07-25 22:56:00,206,south_easterly_onshore,onshore,0.69,14.29,6.803468999999998,3,5.951249999999999,7.002099999999999,27,2,nearest_direction_fallback_within_20_deg,False,12.0,104.0,194.0,2025-07-25T22:59:43Z,3.72,67afb508-e685-4fd7-a46b-69dac606c0e9,105025264
seabright,2025-07-21 22:56:00,203,south_easterly_onshore,onshore,0.77,13.33,7.903357,4,7.1035569999999995,8.044400000000001,27,1,nearest_direction_fallback_within_20_deg,False,9.0,104.0,194.0,2025-07-21T22:59:04Z,3.07,a3fac3fb-ec60-4a06-bdd0-1a08834052b9,101252059
seabright,2025-07-24 18:26:00,208,south_easterly_onshore,onshore,0.71,14.29,7.203588999999999,4,7.1035569999999995,8.044400000000001,27,2,nearest_direction_fallback_within_20_deg,False,14.0,104.0,194.0,2025-07-24T18:20:28Z,-5.53,282e80bb-4ae8-4bdc-aa6a-fb9f72175c10,95647664
seabright,2025-07-27 01:26:00,200,south_easterly_onshore,onshore,0.77,14.29,8.472541,5,8.109972,9.598658000000002,27,1,nearest_direction_fallback_within_20_deg,False,6.0,104.0,194.0,2025-07-27T01:27:52Z,1.87,ca2fd448-2171-4764-b34a-9c64fe385f38,88914572
seabright,2025-11-13 00:26:00,203,south_easterly_onshore,onshore,1.31,4.76,8.168636000000001,5,8.109972,9.598658000000002,27,2,nearest_direction_fallback_within_20_deg,False,9.0,104.0,194.0,2025-11-13T00:21:42Z,-4.3,753b900c-378d-4d4f-8738-9c472f88237c,90688430
