feature_id,label,vertex_index,x,y,group_id
1,shoreline,0,612.0,-118.0,
1,shoreline,1,608.0,-122.0,
1,shoreline,2,607.0,-122.0,
1,shoreline,3,604.0,-125.0,
1,shoreline,4,603.0,-125.0,
1,shoreline,5,603.0,-129.0,
1,shoreline,6,602.0,-130.0,
1,shoreline,7,601.0,-130.0,
1,shoreline,8,598.0,-133.0,
1,shoreline,9,598.0,-134.0,
1,shoreline,10,592.0,-140.0,
1,shoreline,11,591.0,-140.0,
1,shoreline,12,591.0,-141.0,
1,shoreline,13,593.0,-143.0,
1,shoreline,14,593.0,-144.0,
1,shoreline,15,592.0,-145.0,
1,shoreline,16,588.0,-145.0,
1,shoreline,17,588.0,-146.0,
1,shoreline,18,587.0,-147.0,
1,shoreline,19,587.0,-148.0,
1,shoreline,20,586.0,-149.0,
1,shoreline,21,585.0,-149.0,
1,shoreline,22,584.0,-150.0,
1,shoreline,23,583.0,-150.0,
1,shoreline,24,582.0,-151.0,
1,shoreline,25,580.0,-151.0,
1,shoreline,26,579.0,-150.0,
1,shoreline,27,577.0,-150.0,
1,shoreline,28,576.0,-151.0,
1,shoreline,29,576.0,-152.0,
1,shoreline,30,574.0,-154.0,
1,shoreline,31,573.0,-154.0,
1,shoreline,32,572.0,-155.0,
1,shoreline,33,572.0,-156.0,
1,shoreline,34,574.0,-158.0,
1,shoreline,35,574.0,-159.0,
1,shoreline,36,572.0,-161.0,
1,shoreline,37,570.0,-161.0,
1,shoreline,38,565.0,-166.0,
1,shoreline,39,564.0,-166.0,
1,shoreline,40,563.0,-167.0,
1,shoreline,41,562.0,-167.0,
1,shoreline,42,560.0,-165.0,
1,shoreline,43,559.0,-165.0,
1,shoreline,44,558.0,-164.0,
1,shoreline,45,556.0,-164.0,
1,shoreline,46,555.0,-165.0,
1,shoreline,47,554.0,-165.0,
1,shoreline,48,552.0,-167.0,
1,shoreline,49,550.0,-167.0,
1,shoreline,50,548.0,-169.0,
1,shoreline,51,548.0,-170.0,
1,shoreline,52,547.0,-171.0,
1,shoreline,53,546.0,-171.0,
1,shoreline,54,542.0,-175.0,
1,shoreline,55,541.0,-174.0,
1,shoreline,56,541.0,-173.0,
1,shoreline,57,539.0,-171.0,
1,shoreline,58,538.0,-171.0,
1,shoreline,59,537.0,-170.0,
1,shoreline,60,536.0,-171.0,
1,shoreline,61,534.0,-171.0,
1,shoreline,62,533.0,-172.0,
1,shoreline,63,533.0,-173.0,
1,shoreline,64,532.0,-174.0,
1,shoreline,65,527.0,-174.0,
1,shoreline,66,527.0,-175.0,
1,shoreline,67,526.0,-176.0,
1,shoreline,68,525.0,-176.0,
1,shoreline,69,524.0,-177.0,
1,shoreline,70,522.0,-177.0,
1,shoreline,71,520.0,-179.0,
1,shoreline,72,519.0,-179.0,
1,shoreline,73,518.0,-180.0,
1,shoreline,74,517.0,-180.0,
1,shoreline,75,516.0,-181.0,
1,shoreline,76,515.0,-181.0,
1,shoreline,77,514.0,-182.0,
1,shoreline,78,514.0,-185.0,
1,shoreline,79,513.0,-186.0,
1,shoreline,80,513.0,-189.0,
1,shoreline,81,512.0,-190.0,
1,shoreline,82,511.0,-190.0,
1,shoreline,83,510.0,-191.0,
1,shoreline,84,510.0,-192.0,
1,shoreline,85,508.0,-194.0,
1,shoreline,86,507.0,-194.0,
1,shoreline,87,506.0,-195.0,
1,shoreline,88,496.0,-195.0,
1,shoreline,89,495.0,-196.0,
1,shoreline,90,495.0,-197.0,
1,shoreline,91,494.0,-198.0,
1,shoreline,92,494.0,-200.0,
1,shoreline,93,493.0,-201.0,
1,shoreline,94,493.0,-204.0,
1,shoreline,95,492.0,-205.0,
1,shoreline,96,491.0,-205.0,
1,shoreline,97,490.0,-206.0,
1,shoreline,98,489.0,-206.0,
1,shoreline,99,489.0,-211.0,
1,shoreline,100,487.0,-213.0,
1,shoreline,101,486.0,-213.0,
1,shoreline,102,485.0,-214.0,
1,shoreline,103,484.0,-214.0,
1,shoreline,104,483.0,-215.0,
1,shoreline,105,482.0,-215.0,
1,shoreline,106,481.0,-216.0,
1,shoreline,107,480.0,-216.0,
1,shoreline,108,479.0,-217.0,
1,shoreline,109,477.0,-217.0,
1,shoreline,110,475.0,-219.0,
1,shoreline,111,475.0,-220.0,
1,shoreline,112,472.0,-223.0,
1,shoreline,113,472.0,-224.0,
1,shoreline,114,462.0,-234.0,
1,shoreline,115,461.0,-234.0,
1,shoreline,116,460.0,-235.0,
1,shoreline,117,459.0,-235.0,
1,shoreline,118,458.0,-236.0,
1,shoreline,119,457.0,-236.0,
1,shoreline,120,456.0,-237.0,
1,shoreline,121,455.0,-237.0,
1,shoreline,122,454.0,-238.0,
1,shoreline,123,452.0,-238.0,
1,shoreline,124,450.0,-240.0,
1,shoreline,125,449.0,-240.0,
1,shoreline,126,447.0,-242.0,
1,shoreline,127,444.0,-242.0,
1,shoreline,128,443.0,-243.0,
1,shoreline,129,441.0,-243.0,
1,shoreline,130,440.0,-244.0,
1,shoreline,131,437.0,-244.0,
1,shoreline,132,436.0,-245.0,
1,shoreline,133,435.0,-245.0,
1,shoreline,134,434.0,-246.0,
1,shoreline,135,432.0,-246.0,
1,shoreline,136,431.0,-247.0,
1,shoreline,137,430.0,-247.0,
1,shoreline,138,429.0,-248.0,
1,shoreline,139,428.0,-248.0,
1,shoreline,140,427.0,-249.0,
1,shoreline,141,425.0,-249.0,
1,shoreline,142,424.0,-250.0,
1,shoreline,143,422.0,-250.0,
1,shoreline,144,421.0,-251.0,
1,shoreline,145,417.0,-251.0,
1,shoreline,146,416.0,-252.0,
1,shoreline,147,413.0,-252.0,
1,shoreline,148,412.0,-253.0,
1,shoreline,149,411.0,-253.0,
1,shoreline,150,408.0,-256.0,
1,shoreline,151,404.0,-256.0,
1,shoreline,152,403.0,-257.0,
1,shoreline,153,397.0,-257.0,
1,shoreline,154,396.0,-258.0,
1,shoreline,155,395.0,-258.0,
1,shoreline,156,394.0,-259.0,
1,shoreline,157,393.0,-259.0,
1,shoreline,158,392.0,-260.0,
1,shoreline,159,391.0,-260.0,
1,shoreline,160,390.0,-261.0,
1,shoreline,161,389.0,-261.0,
1,shoreline,162,388.0,-262.0,
1,shoreline,163,387.0,-262.0,
1,shoreline,164,386.0,-263.0,
1,shoreline,165,385.0,-263.0,
1,shoreline,166,384.0,-264.0,
1,shoreline,167,383.0,-264.0,
1,shoreline,168,382.0,-265.0,
1,shoreline,169,379.0,-265.0,
1,shoreline,170,378.0,-266.0,
1,shoreline,171,376.0,-266.0,
1,shoreline,172,375.0,-267.0,
1,shoreline,173,374.0,-267.0,
1,shoreline,174,373.0,-268.0,
1,shoreline,175,373.0,-271.0,
1,shoreline,176,370.0,-274.0,
1,shoreline,177,369.0,-274.0,
1,shoreline,178,367.0,-276.0,
1,shoreline,179,365.0,-276.0,
1,shoreline,180,364.0,-277.0,
1,shoreline,181,363.0,-277.0,
1,shoreline,182,362.0,-278.0,
1,shoreline,183,357.0,-278.0,
