file,dt,t_m,z_m,z_ft,noaa_dt,dt_delta_sec
8\walton_lighthouse-2024-11-16-162421Z_000110_warped.csv,2024-11-16 16:24:21+00:00,-458.71143777415193,1.911096,6.27,2024-11-16 16:24:00+00:00,21.0
8\walton_lighthouse-2024-11-16-162421Z_000111_warped.csv,2024-11-16 16:24:21+00:00,-454.1364767659008,1.911096,6.27,2024-11-16 16:24:00+00:00,21.0
8\walton_lighthouse-2024-11-16-162421Z_000112_warped.csv,2024-11-16 16:24:21+00:00,-451.8443353019585,1.911096,6.27,2024-11-16 16:24:00+00:00,21.0
8\walton_lighthouse-2024-11-16-162421Z_000109_warped.csv,2024-11-16 16:24:21+00:00,-450.4780770186476,1.911096,6.27,2024-11-16 16:24:00+00:00,21.0
8\walton_lighthouse-2024-11-16-164421Z_000161_warped.csv,2024-11-16 16:44:21+00:00,-450.3615281240312,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-164421Z_000162_warped.csv,2024-11-16 16:44:21+00:00,-442.60724813333235,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-164421Z_000163_warped.csv,2024-11-16 16:44:21+00:00,-442.3258519312035,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-162421Z_000113_warped.csv,2024-11-16 16:24:21+00:00,-440.27197921543234,1.911096,6.27,2024-11-16 16:24:00+00:00,21.0
8\walton_lighthouse-2024-11-16-164421Z_000164_warped.csv,2024-11-16 16:44:21+00:00,-434.5949093210415,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-164421Z_000166_warped.csv,2024-11-16 16:44:21+00:00,-434.13712917504915,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-162421Z_000114_warped.csv,2024-11-16 16:24:21+00:00,-433.1616485584931,1.911096,6.27,2024-11-16 16:24:00+00:00,21.0
8\walton_lighthouse-2024-11-16-162421Z_000108_warped.csv,2024-11-16 16:24:21+00:00,-432.4601864614195,1.911096,6.27,2024-11-16 16:24:00+00:00,21.0
8\walton_lighthouse-2024-11-16-164421Z_000174_warped.csv,2024-11-16 16:44:21+00:00,-432.0285746107167,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-164421Z_000172_warped.csv,2024-11-16 16:44:21+00:00,-431.8088610531054,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-164421Z_000173_warped.csv,2024-11-16 16:44:21+00:00,-430.80680137819274,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-164421Z_000190_warped.csv,2024-11-16 16:44:21+00:00,-430.15840267466,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-164421Z_000165_warped.csv,2024-11-16 16:44:21+00:00,-430.04408461737387,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-164421Z_000171_warped.csv,2024-11-16 16:44:21+00:00,-430.0008172777407,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-164421Z_000176_warped.csv,2024-11-16 16:44:21+00:00,-429.9127920259498,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-164421Z_000189_warped.csv,2024-11-16 16:44:21+00:00,-428.8355708968105,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-164421Z_000187_warped.csv,2024-11-16 16:44:21+00:00,-428.6625679810017,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-164421Z_000188_warped.csv,2024-11-16 16:44:21+00:00,-428.58843534625623,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-164421Z_000167_warped.csv,2024-11-16 16:44:21+00:00,-428.20151294059417,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-164421Z_000195_warped.csv,2024-11-16 16:44:21+00:00,-428.05028344972925,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-164421Z_000196_warped.csv,2024-11-16 16:44:21+00:00,-427.9281844398125,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-162421Z_000102_warped.csv,2024-11-16 16:24:21+00:00,-427.71590416504097,1.911096,6.27,2024-11-16 16:24:00+00:00,21.0
8\walton_lighthouse-2024-11-16-164421Z_000194_warped.csv,2024-11-16 16:44:21+00:00,-426.980764271987,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-164421Z_000191_warped.csv,2024-11-16 16:44:21+00:00,-426.92143554880215,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-164421Z_000197_warped.csv,2024-11-16 16:44:21+00:00,-426.7371175742139,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-164421Z_000192_warped.csv,2024-11-16 16:44:21+00:00,-426.6751967189159,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-164421Z_000185_warped.csv,2024-11-16 16:44:21+00:00,-426.5725755317941,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-164421Z_000168_warped.csv,2024-11-16 16:44:21+00:00,-426.28476604622483,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
8\walton_lighthouse-2024-11-16-164421Z_000193_warped.csv,2024-11-16 16:44:21+00:00,-425.07927662727656,1.9751040000000002,6.48,2024-11-16 16:42:00+00:00,141.0
