"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2024/11/16","00:00","-1.181","-","-1.27"
"2024/11/16","00:06","-1.192","-","-1.28"
"2024/11/16","00:12","-1.196","-","-1.32"
"2024/11/16","00:18","-1.193","-","-1.25"
"2024/11/16","00:24","-1.183","-","-1.39"
"2024/11/16","00:30","-1.166","-","-1.14"
"2024/11/16","00:36","-1.142","-","-1.28"
"2024/11/16","00:42","-1.112","-","-1.14"
"2024/11/16","00:48","-1.075","-","-1.2"
"2024/11/16","00:54","-1.032","-","-1.16"
"2024/11/16","01:00","-0.982","-","-1.07"
"2024/11/16","01:06","-0.927","-","-1.09"
"2024/11/16","01:12","-0.865","-","-0.9"
"2024/11/16","01:18","-0.797","-","-0.85"
"2024/11/16","01:24","-0.724","-","-0.77"
"2024/11/16","01:30","-0.646","-","-0.76"
"2024/11/16","01:36","-0.563","-","-0.67"
"2024/11/16","01:42","-0.474","-","-0.58"
"2024/11/16","01:48","-0.381","-","-0.42"
"2024/11/16","01:54","-0.284","-","-0.4"
"2024/11/16","02:00","-0.182","-","-0.23"
"2024/11/16","02:06","-0.076","-","-0.22"
"2024/11/16","02:12","0.033","-","-0.06"
"2024/11/16","02:18","0.146","-","0.04"
"2024/11/16","02:24","0.261","-","0.18"
"2024/11/16","02:30","0.379","-","0.32"
"2024/11/16","02:36","0.5","-","0.41"
"2024/11/16","02:42","0.623","-","0.54"
"2024/11/16","02:48","0.748","-","0.69"
"2024/11/16","02:54","0.874","-","0.69"
"2024/11/16","03:00","1.002","-","0.98"
"2024/11/16","03:06","1.13","-","1"
"2024/11/16","03:12","1.259","-","1.16"
"2024/11/16","03:18","1.388","-","1.29"
"2024/11/16","03:24","1.517","-","1.39"
"2024/11/16","03:30","1.646","-","1.49"
"2024/11/16","03:36","1.774","-","1.66"
"2024/11/16","03:42","1.902","-","1.79"
"2024/11/16","03:48","2.028","-","1.89"
"2024/11/16","03:54","2.152","-","1.99"
"2024/11/16","04:00","2.275","-","2.14"
"2024/11/16","04:06","2.395","-","2.26"
"2024/11/16","04:12","2.514","-","2.36"
"2024/11/16","04:18","2.629","-","2.54"
"2024/11/16","04:24","2.742","-","2.58"
"2024/11/16","04:30","2.852","-","2.64"
"2024/11/16","04:36","2.958","-","2.81"
"2024/11/16","04:42","3.061","-","2.92"
"2024/11/16","04:48","3.16","-","3"
"2024/11/16","04:54","3.256","-","3.13"
"2024/11/16","05:00","3.347","-","3.21"
"2024/11/16","05:06","3.434","-","3.23"
"2024/11/16","05:12","3.516","-","3.36"
"2024/11/16","05:18","3.594","-","3.45"
"2024/11/16","05:24","3.668","-","3.47"
"2024/11/16","05:30","3.736","-","3.6"
"2024/11/16","05:36","3.8","-","3.64"
"2024/11/16","05:42","3.859","-","3.72"
"2024/11/16","05:48","3.913","-","3.78"
"2024/11/16","05:54","3.962","-","3.84"
"2024/11/16","06:00","4.005","-","3.9"
"2024/11/16","06:06","4.044","-","3.93"
"2024/11/16","06:12","4.078","-","3.9"
"2024/11/16","06:18","4.107","-","3.94"
"2024/11/16","06:24","4.13","-","3.96"
"2024/11/16","06:30","4.149","-","4.08"
"2024/11/16","06:36","4.163","-","4.01"
"2024/11/16","06:42","4.172","-","4.06"
"2024/11/16","06:48","4.176","-","4.02"
"2024/11/16","06:54","4.175","-","4.05"
"2024/11/16","07:00","4.17","-","4.05"
"2024/11/16","07:06","4.161","-","4.06"
"2024/11/16","07:12","4.147","-","4"
"2024/11/16","07:18","4.129","-","3.94"
"2024/11/16","07:24","4.107","-","4.01"
"2024/11/16","07:30","4.081","-","3.98"
"2024/11/16","07:36","4.052","-","3.94"
"2024/11/16","07:42","4.019","-","3.93"
"2024/11/16","07:48","3.983","-","3.89"
"2024/11/16","07:54","3.944","-","3.79"
"2024/11/16","08:00","3.902","-","3.81"
"2024/11/16","08:06","3.858","-","3.74"
"2024/11/16","08:12","3.811","-","3.69"
"2024/11/16","08:18","3.762","-","3.74"
"2024/11/16","08:24","3.71","-","3.66"
"2024/11/16","08:30","3.658","-","3.61"
"2024/11/16","08:36","3.603","-","3.59"
"2024/11/16","08:42","3.548","-","3.4"
"2024/11/16","08:48","3.492","-","3.42"
"2024/11/16","08:54","3.435","-","3.36"
"2024/11/16","09:00","3.377","-","3.29"
"2024/11/16","09:06","3.319","-","3.22"
"2024/11/16","09:12","3.262","-","3.17"
"2024/11/16","09:18","3.204","-","3.11"
"2024/11/16","09:24","3.148","-","3.06"
"2024/11/16","09:30","3.092","-","3.09"
"2024/11/16","09:36","3.037","-","3.01"
"2024/11/16","09:42","2.983","-","2.91"
"2024/11/16","09:48","2.931","-","2.81"
"2024/11/16","09:54","2.881","-","2.82"
"2024/11/16","10:00","2.832","-","2.67"
"2024/11/16","10:06","2.786","-","2.75"
"2024/11/16","10:12","2.742","-","2.75"
"2024/11/16","10:18","2.701","-","2.6"
"2024/11/16","10:24","2.663","-","2.61"
"2024/11/16","10:30","2.628","-","2.68"
"2024/11/16","10:36","2.596","-","2.49"
"2024/11/16","10:42","2.567","-","2.57"
"2024/11/16","10:48","2.542","-","2.49"
"2024/11/16","10:54","2.521","-","2.44"
"2024/11/16","11:00","2.503","-","2.47"
"2024/11/16","11:06","2.49","-","2.43"
"2024/11/16","11:12","2.48","-","2.42"
"2024/11/16","11:18","2.475","-","2.51"
"2024/11/16","11:24","2.474","-","2.47"
"2024/11/16","11:30","2.478","-","2.54"
"2024/11/16","11:36","2.486","-","2.49"
"2024/11/16","11:42","2.499","-","2.54"
"2024/11/16","11:48","2.516","-","2.47"
"2024/11/16","11:54","2.538","-","2.58"
"2024/11/16","12:00","2.565","-","2.6"
"2024/11/16","12:06","2.596","-","2.64"
"2024/11/16","12:12","2.632","-","2.67"
"2024/11/16","12:18","2.673","-","2.71"
"2024/11/16","12:24","2.718","-","2.8"
"2024/11/16","12:30","2.768","-","2.8"
"2024/11/16","12:36","2.823","-","2.88"
"2024/11/16","12:42","2.882","-","2.93"
"2024/11/16","12:48","2.945","-","2.94"
"2024/11/16","12:54","3.012","-","3.03"
"2024/11/16","13:00","3.084","-","3.09"
"2024/11/16","13:06","3.16","-","3.18"
"2024/11/16","13:12","3.239","-","3.32"
"2024/11/16","13:18","3.322","-","3.34"
"2024/11/16","13:24","3.409","-","3.48"
"2024/11/16","13:30","3.499","-","3.54"
"2024/11/16","13:36","3.592","-","3.59"
"2024/11/16","13:42","3.688","-","3.71"
"2024/11/16","13:48","3.787","-","3.85"
"2024/11/16","13:54","3.888","-","3.93"
"2024/11/16","14:00","3.991","-","3.99"
"2024/11/16","14:06","4.097","-","4.14"
"2024/11/16","14:12","4.204","-","4.22"
"2024/11/16","14:18","4.312","-","4.33"
"2024/11/16","14:24","4.422","-","4.48"
"2024/11/16","14:30","4.533","-","4.57"
"2024/11/16","14:36","4.644","-","4.7"
"2024/11/16","14:42","4.756","-","4.72"
"2024/11/16","14:48","4.867","-","4.85"
"2024/11/16","14:54","4.978","-","5"
"2024/11/16","15:00","5.089","-","5.08"
