"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2024/01/11","00:00","-1.421","-","-1.19"
"2024/01/11","00:06","-1.433","-","-1.32"
"2024/01/11","00:12","-1.438","-","-1.24"
"2024/01/11","00:18","-1.437","-","-1.2"
"2024/01/11","00:24","-1.43","-","-1.27"
"2024/01/11","00:30","-1.416","-","-1.17"
"2024/01/11","00:36","-1.396","-","-1.25"
"2024/01/11","00:42","-1.369","-","-1.17"
"2024/01/11","00:48","-1.336","-","-1.14"
"2024/01/11","00:54","-1.297","-","-1.16"
"2024/01/11","01:00","-1.252","-","-1.04"
"2024/01/11","01:06","-1.202","-","-0.98"
"2024/01/11","01:12","-1.146","-","-0.82"
"2024/01/11","01:18","-1.084","-","-0.93"
"2024/01/11","01:24","-1.017","-","-0.91"
"2024/01/11","01:30","-0.945","-","-0.74"
"2024/01/11","01:36","-0.868","-","-0.66"
"2024/01/11","01:42","-0.786","-","-0.6"
"2024/01/11","01:48","-0.7","-","-0.39"
"2024/01/11","01:54","-0.61","-","-0.42"
"2024/01/11","02:00","-0.515","-","-0.34"
"2024/01/11","02:06","-0.417","-","-0.28"
"2024/01/11","02:12","-0.316","-","-0.06"
"2024/01/11","02:18","-0.211","-","0.04"
"2024/01/11","02:24","-0.103","-","0.12"
"2024/01/11","02:30","0.007","-","0.2"
"2024/01/11","02:36","0.12","-","0.29"
"2024/01/11","02:42","0.235","-","0.44"
"2024/01/11","02:48","0.352","-","0.59"
"2024/01/11","02:54","0.47","-","0.71"
"2024/01/11","03:00","0.59","-","0.8"
"2024/01/11","03:06","0.711","-","0.92"
"2024/01/11","03:12","0.832","-","0.97"
"2024/01/11","03:18","0.954","-","1.23"
"2024/01/11","03:24","1.076","-","1.27"
"2024/01/11","03:30","1.198","-","1.5"
"2024/01/11","03:36","1.32","-","1.54"
"2024/01/11","03:42","1.44","-","1.65"
"2024/01/11","03:48","1.56","-","1.8"
"2024/01/11","03:54","1.679","-","1.88"
"2024/01/11","04:00","1.796","-","2.04"
"2024/01/11","04:06","1.912","-","2.17"
"2024/01/11","04:12","2.026","-","2.21"
"2024/01/11","04:18","2.137","-","2.35"
"2024/01/11","04:24","2.247","-","2.45"
"2024/01/11","04:30","2.353","-","2.62"
"2024/01/11","04:36","2.457","-","2.7"
"2024/01/11","04:42","2.558","-","2.86"
"2024/01/11","04:48","2.656","-","2.8"
"2024/01/11","04:54","2.751","-","2.97"
"2024/01/11","05:00","2.842","-","3.05"
"2024/01/11","05:06","2.929","-","3.09"
"2024/01/11","05:12","3.013","-","3.25"
"2024/01/11","05:18","3.093","-","3.37"
"2024/01/11","05:24","3.169","-","3.44"
"2024/01/11","05:30","3.241","-","3.45"
"2024/01/11","05:36","3.309","-","3.49"
"2024/01/11","05:42","3.372","-","3.55"
"2024/01/11","05:48","3.432","-","3.69"
"2024/01/11","05:54","3.487","-","3.75"
"2024/01/11","06:00","3.537","-","3.79"
"2024/01/11","06:06","3.584","-","3.71"
"2024/01/11","06:12","3.626","-","3.85"
"2024/01/11","06:18","3.664","-","3.91"
"2024/01/11","06:24","3.697","-","3.92"
"2024/01/11","06:30","3.727","-","3.96"
"2024/01/11","06:36","3.752","-","3.96"
"2024/01/11","06:42","3.773","-","3.96"
"2024/01/11","06:48","3.79","-","3.93"
"2024/01/11","06:54","3.802","-","3.97"
"2024/01/11","07:00","3.811","-","4"
"2024/01/11","07:06","3.817","-","4.02"
"2024/01/11","07:12","3.818","-","3.99"
"2024/01/11","07:18","3.816","-","3.93"
"2024/01/11","07:24","3.811","-","3.98"
"2024/01/11","07:30","3.802","-","3.98"
"2024/01/11","07:36","3.79","-","3.92"
"2024/01/11","07:42","3.776","-","3.95"
"2024/01/11","07:48","3.758","-","3.91"
"2024/01/11","07:54","3.738","-","3.87"
"2024/01/11","08:00","3.715","-","3.89"
"2024/01/11","08:06","3.691","-","3.91"
"2024/01/11","08:12","3.664","-","3.85"
"2024/01/11","08:18","3.635","-","3.76"
"2024/01/11","08:24","3.605","-","3.75"
"2024/01/11","08:30","3.573","-","3.75"
"2024/01/11","08:36","3.54","-","3.77"
"2024/01/11","08:42","3.505","-","3.62"
"2024/01/11","08:48","3.47","-","3.65"
"2024/01/11","08:54","3.435","-","3.59"
"2024/01/11","09:00","3.399","-","3.6"
"2024/01/11","09:06","3.362","-","3.56"
"2024/01/11","09:12","3.326","-","3.53"
"2024/01/11","09:18","3.29","-","3.44"
"2024/01/11","09:24","3.255","-","3.43"
"2024/01/11","09:30","3.22","-","3.39"
"2024/01/11","09:36","3.186","-","3.39"
"2024/01/11","09:42","3.153","-","3.26"
