location,direction_group,final_plot_group,sea_state_bin,n_json_files,n_usable_curves,n_baseline_samples,baseline_mode,baseline_source,baseline_x,baseline_coordinate_min,baseline_coordinate_max,curve_boxplot_variance,central_band_area,outlier_count,plot_path,H_mean,H_min,H_max,T_mean,T_min,T_max,sea_state_mean,sea_state_min,sea_state_max,direction_degrees_mean,direction_degrees_min,direction_degrees_max,sea_state_bin_mean,sea_state_bin_min,sea_state_bin_max,metadata_rows_matched,sea_state_for_plot,curves_csv,shoreline_variance,variance_window_position,variance_center_y,variance_window_y_min,variance_window_y_max,variance_window_samples,variance_curve_count,included_in_correlation,cleanup_reason
seabright,offshore,offshore,1,2802,2801,198,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-07-26_012153Z_000701.json,,187.8653677085541,1282.8520823526983,109.17853183836256,21438.103802320755,272,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\offshore\bin_1\curve_boxplot.png,0.74,0.74,0.74,8.33,8.33,8.33,4.561508,4.561508,4.561508,307.0,307.0,307.0,1.0,1.0,1.0,1,4.561508,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\offshore\bin_1\curves.csv,949.9953452051043,right,1149.0,1014.0,1283.0,51,2801,True,
seabright,offshore,offshore,10,1151,632,238,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-07-26_012153Z_000701.json,,10.735163869060235,1282.8520823526983,448.988118308379,65182.73907376437,0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\offshore\bin_10\curve_boxplot.png,1.82,1.82,1.82,11.76,11.76,11.76,38.953824,38.953824,38.953824,301.0,301.0,301.0,10.0,10.0,10.0,1,38.953824,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\offshore\bin_10\curves.csv,1529.2932531141814,right,1124.5,966.0,1283.0,60,632,True,
seabright,offshore,offshore,2,1027,1020,236,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-07-26_012153Z_000701.json,,21.470327738120474,1282.8520823526983,211.0376437151662,34362.4570686606,4,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\offshore\bin_2\curve_boxplot.png,1.03,1.0,1.06,7.14,7.14,7.14,7.581252000000001,7.14,8.022504000000001,303.5,301.0,306.0,2.0,2.0,2.0,2,7.581252000000001,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\offshore\bin_2\curves.csv,652.239209007682,right,1127.0,972.0,1283.0,59,1020,True,
seabright,offshore,offshore,3,3896,3887,240,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-07-26_012153Z_000701.json,,0.0,1282.8520823526983,408.0823401808894,139494.257108276,7,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\offshore\bin_3\curve_boxplot.png,1.005,0.97,1.04,9.485,9.09,9.88,9.563918,9.296092,9.831744,302.0,300.0,304.0,3.0,3.0,3.0,2,9.563918,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\offshore\bin_3\curves.csv,1166.7601645872253,right,1124.5,966.0,1283.0,60,3887,True,
seabright,offshore,offshore,4,3987,3975,237,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-07-26_012153Z_000701.json,,16.102745803590356,1282.8520823526983,82.42826619737117,24973.15829820284,0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\offshore\bin_4\curve_boxplot.png,1.04,0.99,1.09,10.495,9.88,11.11,11.3136695,10.888910999999998,11.738428000000004,301.0,301.0,301.0,4.0,4.0,4.0,2,11.3136695,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\offshore\bin_4\curves.csv,255.32905199503216,right,1127.0,972.0,1283.0,59,3975,True,
seabright,offshore,offshore,5,116,116,238,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-07-26_012153Z_000701.json,,10.735163869060235,1282.8520823526983,10.528188296158389,7790.736107964758,6,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\offshore\bin_5\curve_boxplot.png,1.0,1.0,1.0,13.33,13.33,13.33,13.33,13.33,13.33,301.0,301.0,301.0,5.0,5.0,5.0,1,13.33,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\offshore\bin_5\curves.csv,37.775472801921964,right,1124.5,966.0,1283.0,60,116,True,
seabright,offshore,offshore,6,3070,3059,240,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-07-26_012153Z_000701.json,,0.0,1282.8520823526983,113.0632005222124,33670.21783730555,71,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\offshore\bin_6\curve_boxplot.png,1.43,1.38,1.48,8.01,7.69,8.33,16.353914,15.863651999999997,16.844176,305.5,303.0,308.0,6.0,6.0,6.0,2,16.353914,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\offshore\bin_6\curves.csv,526.4072177076202,right,1124.5,966.0,1283.0,60,3059,True,
seabright,offshore,offshore,9,4803,4736,240,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-07-26_012153Z_000701.json,,0.0,1282.8520823526983,799.8959687754955,102827.66669168632,0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\offshore\bin_9\curve_boxplot.png,1.62,1.58,1.66,11.515,10.53,12.5,30.110734,29.016468,31.205000000000005,301.5,300.0,303.0,9.0,9.0,9.0,2,30.110734,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\offshore\bin_9\curves.csv,2503.8583289880607,right,1124.5,966.0,1283.0,60,4736,True,
seabright,south_easterly_onshore,onshore,2,353,353,240,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-07-26_012153Z_000701.json,,0.0,1282.8520823526983,112.3309069869865,39051.39692387071,0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\south_easterly_onshore\bin_2\curve_boxplot.png,0.9,0.9,0.9,14.29,14.29,14.29,11.5749,11.5749,11.5749,193.0,193.0,193.0,2.0,2.0,2.0,1,11.5749,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\south_easterly_onshore\bin_2\curves.csv,314.1523477348008,right,1124.5,966.0,1283.0,60,353,True,
seabright,south_westerly_onshore,onshore,1,202,194,109,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-07-26_012153Z_000701.json,,703.1532334234455,1282.8520823526983,282.7506170685348,19672.21491957985,7,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\south_westerly_onshore\bin_1\curve_boxplot.png,0.75,0.75,0.75,10.53,10.53,10.53,5.923125,5.923125,5.923125,258.0,258.0,258.0,1.0,1.0,1.0,1,5.923125,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs\seabright\south_westerly_onshore\bin_1\curves.csv,209.68529956385063,right,1210.5,1138.0,1283.0,28,194,True,
