location,direction_group,final_plot_group,sea_state_bin,video_stem,group_by,n_json_files,n_usable_curves,n_baseline_samples,baseline_mode,baseline_source,baseline_x,baseline_coordinate_min,baseline_coordinate_max,curve_boxplot_variance,central_band_area,central_band_percent,outlier_count,plot_path,timestamp,direction_degrees,H,T,sea_state,bin_min,bin_max,bin_count,candidate_rank,matched_timestamp_utc,match_delta_minutes,sea_state_for_plot,curves_csv,shoreline_variance,variance_window_position,variance_target_coordinate,variance_center_y,variance_window_y_min,variance_window_y_max,variance_window_samples,variance_curve_count,variance_finite_curve_count,included_in_correlation,cleanup_reason
seabright,offshore,offshore,1,walton_lighthouse-2025-12-30_223847Z,clip,2802,2802,186,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-03-19_000451Z_000002.json,,253.22221786936225,886.2777625427678,897.4992167797038,58786.129347065165,90.0,0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_1\walton_lighthouse-2025-12-30_223847Z\curve_boxplot.png,2025-12-30 12:56:00,307.0,0.74,8.33,4.561508,1.5826999999999998,6.375625,178,1,2025-12-30T22:38:47Z,582.78,4.561508,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_1\walton_lighthouse-2025-12-30_223847Z\curves.csv,739.4196286076929,coordinate,700.0,701.0,701.0,701.0,1,2802,2801,True,
seabright,offshore,offshore,10,walton_lighthouse-2025-03-30_185626Z,clip,659,659,186,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-03-19_000451Z_000002.json,,253.22221786936225,886.2777625427678,1379.1336502825743,90401.07514749534,90.0,4,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_10\walton_lighthouse-2025-03-30_185626Z\curve_boxplot.png,2025-03-30 07:56:00,301.0,1.82,11.76,38.953824,34.445,137.54966399999998,178,1,2025-03-30T18:56:26Z,660.43,38.953824,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_10\walton_lighthouse-2025-03-30_185626Z\curves.csv,2240.853207071669,coordinate,700.0,701.0,701.0,701.0,1,659,637,True,
seabright,offshore,offshore,2,walton_lighthouse-2025-08-02_192111Z,clip,895,895,186,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-03-19_000451Z_000002.json,,253.22221786936225,886.2777625427678,487.8658904076704,49862.35166710051,90.0,3,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_2\walton_lighthouse-2025-08-02_192111Z\curve_boxplot.png,2025-08-02 19:26:00,306.0,1.0,7.14,7.14,6.375625,8.666532,178,1,2025-08-02T19:21:11Z,-4.82,7.14,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_2\walton_lighthouse-2025-08-02_192111Z\curves.csv,857.2175989104118,coordinate,700.0,701.0,701.0,701.0,1,895,894,True,
seabright,offshore,offshore,2,walton_lighthouse-2025-08-21_140202Z,clip,126,126,186,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-03-19_000451Z_000002.json,,253.22221786936225,886.2777625427678,196.03870386853052,23780.558616163555,90.0,0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_2\walton_lighthouse-2025-08-21_140202Z\curve_boxplot.png,2025-08-21 13:56:00,301.0,1.06,7.14,8.022504000000001,6.375625,8.666532,178,2,2025-08-21T14:02:02Z,6.03,8.022504000000001,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_2\walton_lighthouse-2025-08-21_140202Z\curves.csv,286.8620870977145,coordinate,700.0,701.0,701.0,701.0,1,126,126,True,
seabright,offshore,offshore,3,walton_lighthouse-2025-04-19_140218Z,clip,2968,2968,186,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-03-19_000451Z_000002.json,,253.22221786936225,886.2777625427678,1452.1151283526212,105934.73036434912,90.0,0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_3\walton_lighthouse-2025-04-19_140218Z\curve_boxplot.png,2025-04-19 13:56:00,300.0,1.04,9.09,9.831744,8.666532,10.320453,177,2,2025-04-19T14:02:18Z,6.3,9.831744,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_3\walton_lighthouse-2025-04-19_140218Z\curves.csv,1986.366352772945,coordinate,700.0,701.0,701.0,701.0,1,2968,2966,True,
seabright,offshore,offshore,3,walton_lighthouse-2025-08-18_202214Z,clip,925,924,186,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-03-19_000451Z_000002.json,,253.22221786936225,886.2777625427678,290.90771375992085,113276.56791124292,90.0,0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_3\walton_lighthouse-2025-08-18_202214Z\curve_boxplot.png,2025-08-18 20:26:00,304.0,0.97,9.88,9.296092,8.666532,10.320453,177,1,2025-08-18T20:22:14Z,-3.77,9.296092,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_3\walton_lighthouse-2025-08-18_202214Z\curves.csv,316.94505333169707,coordinate,700.0,701.0,701.0,701.0,1,924,921,True,
seabright,offshore,offshore,4,walton_lighthouse-2025-09-25_140202Z,clip,2999,2999,186,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-03-19_000451Z_000002.json,,253.22221786936225,886.2777625427678,53.36018176607678,21934.744285321227,90.0,0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_4\walton_lighthouse-2025-09-25_140202Z\curve_boxplot.png,2025-09-25 05:26:00,301.0,0.99,11.11,10.888910999999998,10.320453,12.510693000000002,178,1,2025-09-25T14:02:02Z,516.03,10.888910999999998,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_4\walton_lighthouse-2025-09-25_140202Z\curves.csv,71.74656679551553,coordinate,700.0,701.0,701.0,701.0,1,2999,2999,True,
seabright,offshore,offshore,4,walton_lighthouse-2025-10-11_141011Z,clip,976,976,186,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-03-19_000451Z_000002.json,,253.22221786936225,886.2777625427678,274.69258616275346,41614.91789059039,90.0,0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_4\walton_lighthouse-2025-10-11_141011Z\curve_boxplot.png,2025-10-11 10:56:00,301.0,1.09,9.88,11.738428000000004,10.320453,12.510693000000002,178,2,2025-10-11T14:10:11Z,194.18,11.738428000000004,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_4\walton_lighthouse-2025-10-11_141011Z\curves.csv,395.66121019223266,coordinate,700.0,701.0,701.0,701.0,1,976,976,True,
seabright,offshore,offshore,5,walton_lighthouse-2025-10-09_014037Z,clip,116,116,186,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-03-19_000451Z_000002.json,,253.22221786936225,886.2777625427678,22.737622565323463,7887.11042055067,90.0,0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_5\walton_lighthouse-2025-10-09_014037Z\curve_boxplot.png,2025-10-09 03:56:00,301.0,1.0,13.33,13.33,12.599296,14.911533,177,1,2025-10-09T01:40:37Z,-135.38,13.33,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_5\walton_lighthouse-2025-10-09_014037Z\curves.csv,49.714056669803064,coordinate,700.0,701.0,701.0,701.0,1,116,116,True,
seabright,offshore,offshore,6,walton_lighthouse-2025-05-17_140217Z,clip,2964,2964,186,polyline,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\baseline\walton_lighthouse-2025-03-19_000451Z_000002.json,,253.22221786936225,886.2777625427678,453.8547395472348,121497.34459675263,90.0,0,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_6\walton_lighthouse-2025-05-17_140217Z\curve_boxplot.png,2025-05-17 08:26:00,303.0,1.38,8.33,15.863651999999997,14.947452,18.071829,178,1,2025-05-17T14:02:17Z,336.28,15.863651999999997,C:\Users\monaz\Documents\GitHub\sam2_realtime\save_predict\shoreline_jsons\curve_boxplot_outputs_per_clip\seabright_updated_baseline\offshore\bin_6\walton_lighthouse-2025-05-17_140217Z\curves.csv,573.8378125544326,coordinate,700.0,701.0,701.0,701.0,1,2964,2962,True,
