#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2024 08 27 00 56 999 99.0 99.0  0.61  7.14  6.00 117 9999.0 999.0  24.7 999.0 99.0 99.00
2024 08 27 01 26 999 99.0 99.0  0.63  8.33  5.73 120 9999.0 999.0  24.9 999.0 99.0 99.00
2024 08 27 01 56 999 99.0 99.0  0.62  6.67  5.69  92 9999.0 999.0  24.8 999.0 99.0 99.00
2024 08 27 02 26 999 99.0 99.0  0.63  6.67  5.49 103 9999.0 999.0  24.7 999.0 99.0 99.00
2024 08 27 02 56 999 99.0 99.0  0.68  7.69  5.88 128 9999.0 999.0  24.6 999.0 99.0 99.00
2024 08 27 03 26 999 99.0 99.0  0.63  6.67  5.81  96 9999.0 999.0  24.4 999.0 99.0 99.00
2024 08 27 03 56 999 99.0 99.0  0.65  6.67  5.90 109 9999.0 999.0  24.1 999.0 99.0 99.00
2024 08 27 04 26 999 99.0 99.0  0.63  7.69  5.90 123 9999.0 999.0  23.9 999.0 99.0 99.00
2024 08 27 04 56 999 99.0 99.0  0.62  7.14  5.88 117 9999.0 999.0  23.8 999.0 99.0 99.00
2024 08 27 05 26 999 99.0 99.0  0.61  9.09  5.87 110 9999.0 999.0  23.7 999.0 99.0 99.00
2024 08 27 05 56 999 99.0 99.0  0.65  6.67  5.97  96 9999.0 999.0  23.7 999.0 99.0 99.00
2024 08 27 06 26 999 99.0 99.0  0.62  6.67  5.78 100 9999.0 999.0  23.8 999.0 99.0 99.00
2024 08 27 07 26 999 99.0 99.0  0.63  8.33  5.93 127 9999.0 999.0  24.0 999.0 99.0 99.00
2024 08 27 08 56 999 99.0 99.0  0.60  8.33  5.90 125 9999.0 999.0  24.1 999.0 99.0 99.00
2024 08 27 09 26 999 99.0 99.0  0.58  7.69  6.00 120 9999.0 999.0  24.1 999.0 99.0 99.00
2024 08 27 09 56 999 99.0 99.0  0.59  8.33  6.25 111 9999.0 999.0  24.0 999.0 99.0 99.00
2024 08 27 10 56 999 99.0 99.0  0.58  8.33  6.56 114 9999.0 999.0  24.0 999.0 99.0 99.00
2024 08 27 11 26 999 99.0 99.0  0.60  9.09  6.49 107 9999.0 999.0  24.0 999.0 99.0 99.00
2024 08 27 12 26 999 99.0 99.0  0.58  9.09  6.39 107 9999.0 999.0  24.0 999.0 99.0 99.00
2024 08 27 12 56 999 99.0 99.0  0.67  8.33  6.52 111 9999.0 999.0  24.1 999.0 99.0 99.00
2024 08 27 13 26 999 99.0 99.0  0.59  7.69  6.52 114 9999.0 999.0  24.2 999.0 99.0 99.00
2024 08 27 13 56 999 99.0 99.0  0.59  7.69  6.48 109 9999.0 999.0  24.4 999.0 99.0 99.00
2024 08 27 14 26 999 99.0 99.0  0.62  9.09  6.71 113 9999.0 999.0  24.6 999.0 99.0 99.00
2024 08 27 14 56 999 99.0 99.0  0.61  8.33  6.55 113 9999.0 999.0  24.8 999.0 99.0 99.00
2024 08 27 15 26 999 99.0 99.0  0.64  9.09  6.83 111 9999.0 999.0  24.9 999.0 99.0 99.00
2024 08 27 16 26 999 99.0 99.0  0.66  8.33  6.93 109 9999.0 999.0  25.2 999.0 99.0 99.00
2024 08 27 16 56 999 99.0 99.0  0.63  7.14  6.85 107 9999.0 999.0  25.2 999.0 99.0 99.00
2024 08 27 17 26 999 99.0 99.0  0.67  8.33  7.19 104 9999.0 999.0  25.5 999.0 99.0 99.00
2024 08 27 17 56 999 99.0 99.0  0.65  8.33  7.06  97 9999.0 999.0  26.0 999.0 99.0 99.00
2024 08 27 18 56 999 99.0 99.0  0.60  7.69  7.00  99 9999.0 999.0  26.6 999.0 99.0 99.00
2024 08 27 19 56 999 99.0 99.0  0.64  7.69  7.20 103 9999.0 999.0  27.0 999.0 99.0 99.00
2024 08 27 20 26 999 99.0 99.0  0.64  8.33  7.19 111 9999.0 999.0  27.2 999.0 99.0 99.00
2024 08 27 20 56 999 99.0 99.0  0.62  7.14  7.01 104 9999.0 999.0  26.6 999.0 99.0 99.00
2024 08 27 21 26 999 99.0 99.0  0.68  7.69  7.25 109 9999.0 999.0  27.1 999.0 99.0 99.00
2024 08 27 21 56 999 99.0 99.0  0.66  7.69  7.02  94 9999.0 999.0  26.9 999.0 99.0 99.00
2024 08 27 22 26 999 99.0 99.0  0.67  9.09  6.89 103 9999.0 999.0  26.9 999.0 99.0 99.00
2024 08 27 22 56 999 99.0 99.0  0.68  7.69  6.67 106 9999.0 999.0  26.1 999.0 99.0 99.00
2024 08 27 23 26 999 99.0 99.0  0.63  9.09  6.62  97 9999.0 999.0  26.1 999.0 99.0 99.00
2024 08 27 23 56 999 99.0 99.0  0.59  8.33  6.58 104 9999.0 999.0  26.2 999.0 99.0 99.00
